Image,Percentage
Raspberry Pi OS (32-bit),45.26%
Raspberry Pi OS Lite (32-bit),14.38%
Raspberry Pi OS Full (32-bit),10.00%
Ubuntu Desktop 20.10 (RPi 4/400),5.75%
RetroPie 4.7.1 (RPI 4/400),2.75%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.57%
RetroPie 4.7.1 (RPI 2/3),1.88%
Ubuntu Server 20.10 (RPi 3/4/400),1.69%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.66%
LibreELEC (RPi4),1.57%
Recalbox 7.1.1-Reloaded (Pi 3),1.54%
Raspberry Pi 4 EEPROM boot recovery,1.39%
LibreELEC (RPi2/RPi3),1.37%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.94%
SD Card Boot,0.88%
USB Boot,0.87%
RISC OS (5.28),0.81%
RetroPie 4.7.1 (RPI 1/Zero),0.73%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.72%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.66%
Ubuntu Core 18 (RPi 3/4),0.54%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.35%
Ubuntu Core 18 (RPi 2/3/4),0.31%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.31%
LibreELEC (RPi0/RPi1),0.28%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.23%
Recalbox 7.1.1-Reloaded (Pi 2),0.20%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.13%
Network Boot,0.09%
TLXOS RPi 4.9.3 (latest),0.07%
OctoPi,0.06%
TLXOS RPi 4.8.1 (LTS),0.02%
TLXOS RPi IoT 4.8.1 (LTS),0.02%
