Image,Percentage
Raspberry Pi OS (32-bit),43.03%
Raspberry Pi OS Lite (32-bit),14.39%
Raspberry Pi OS Full (32-bit),9.50%
Ubuntu Desktop 20.10 (RPi 4/400),6.00%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.26%
RetroPie 4.7.1 (RPI 4/400),2.59%
USB Boot,2.27%
Ubuntu Server 20.10 (RPi 3/4/400),2.00%
SD Card Boot,1.89%
RetroPie 4.7.1 (RPI 2/3),1.62%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.54%
Recalbox 7.1.1-Reloaded (Pi 3),1.51%
LibreELEC (RPi4),1.41%
LibreELEC (RPi2/RPi3),1.16%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.06%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.87%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.71%
RetroPie 4.7.1 (RPI 1/Zero),0.69%
RISC OS (5.28),0.67%
Ubuntu Core 18 (RPi 3/4),0.53%
OctoPi,0.46%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.40%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.33%
Ubuntu Core 18 (RPi 2/3/4),0.32%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.28%
LibreELEC (RPi0/RPi1),0.27%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.25%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.17%
Recalbox 7.1.1-Reloaded (Pi 2),0.16%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.16%
Network Boot,0.15%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.09%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.07%
TLXOS RPi 4.9.3 (latest),0.05%
info-beamer OS,0.04%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.04%
ALT Education 9.1 (Raspberry Pi 4/3),0.03%
Simply Linux 9.0 (Raspberry Pi 4),0.02%
OctoPi (mirror),0.02%
TLXOS RPi 4.8.1 (LTS),0.01%
info-beamer OS (testing),0.00%
TLXOS RPi IoT 4.8.1 (LTS),0.00%
